Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
T,AT&T,Communication Services,Integrated Telecommunication Services,177819418624.0,127239001682.0,20694205944.0,44939001856.0,110021906462.0,0.353186,0.16264,0.188092,8.5927,1.6162,0.116378,0.0427,0.366909,0.119079,0.03763,0.081449,True,Funds more growth than the price implies
ATO,Atmos Energy,Utilities,Gas Utilities,28336001024.0,4921526018.0,1417813983.0,2624299008.0,15258315488.0,0.533229,0.288084,0.092921,19.9857,1.8571,0.050036,0.0239,0.477658,0.048536,0.067484,-0.018947,True,Broadly consistent
ADSK,Autodesk,Information Technology,Application Software,50521567232.0,7790000443.0,1575859914.0,2286000128.0,3383082969.0,0.293453,0.202293,0.465806,32.0597,14.9336,0.031192,0.0,0.0,0.465806,0.075964,0.389842,False,Outside screen
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,111694397440.0,21947400630.0,4346054588.0,6411200000.0,6022900975.0,0.292117,0.198021,0.721588,25.7002,18.545,0.03891,0.024,0.616804,0.276509,0.07249,0.204019,False,Outside screen
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,26283393024.0,3083519149.0,1040997148.0,1857816064.0,12116692764.0,0.602499,0.3376,0.085914,25.2483,2.1692,0.039607,0.000387,0.009771,0.085075,0.072177,0.012898,True,Broadly consistent
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,13218967552.0,9248100477.0,698008779.0,1496499968.0,2319268721.0,0.161817,0.075476,0.300961,18.9381,5.6996,0.052804,0.0231,0.43747,0.169299,0.066238,0.103061,True,Funds more growth than the price implies
AXON,Axon Enterprise,Industrials,Aerospace & Defense,41185746944.0,3219098907.0,189283187.0,165106000.0,3674612430.0,0.05129,0.0588,0.051511,217.588,11.2082,0.004596,0.0,0.0,0.051511,0.087932,-0.036421,False,Outside screen
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,64156520448.0,27724999949.0,3087216132.0,4839000064.0,19915027643.0,0.174536,0.111351,0.155019,20.7814,3.2215,0.04812,0.0145,0.30133,0.108307,0.068346,0.039962,True,Funds more growth than the price implies
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",16755722240.0,14325999735.0,923814702.0,2076000000.0,5748033288.0,0.144911,0.064485,0.160718,18.1375,2.915,0.055134,0.0127,0.230347,0.123697,0.06519,0.058508,True,Funds more growth than the price implies
BDX,Becton Dickinson,Health Care,Health Care Equipment,51077976064.0,22484001332.0,1574395807.0,6120999936.0,24415936736.0,0.272238,0.070023,0.064482,32.4429,2.092,0.030823,0.0224,0.726721,0.017622,0.076129,-0.058508,True,Priced above what the balance sheet can fund
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,18336739328.0,42201001248.0,1332048190.0,2652000000.0,3174996135.0,0.062842,0.031564,0.419543,13.7658,5.7754,0.072644,0.0465,0.640111,0.150989,0.05731,0.093679,False,Outside screen
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,11337959424.0,1215039042.0,181909169.0,334105984.0,2117987182.0,0.274976,0.149715,0.085888,62.3276,5.3532,0.016044,0.0044,0.274241,0.062334,0.08278,-0.020446,True,Priced above what the balance sheet can fund
BIIB,Biogen,Health Care,Biotechnology,32900382720.0,10027899706.0,833332548.0,3359200000.0,18854887095.0,0.334985,0.083101,0.044197,39.4805,1.7449,0.025329,0.0,0.0,0.044197,0.078602,-0.034405,True,Priced above what the balance sheet can fund
BLK,BlackRock,Financials,Asset Management & Custody Banks,179874136064.0,27299000619.0,6655024581.0,11116000256.0,60393052486.0,0.407194,0.243783,0.110195,27.0283,2.9784,0.036998,0.0203,0.548675,0.049734,0.073351,-0.023617,True,Priced above what the balance sheet can fund
BA,Boeing,Industrials,Aerospace & Defense,165084594176.0,93995000420.0,2228843566.0,-2900000000.0,6098495429.0,-0.030853,0.023712,0.365474,74.0674,27.0697,0.013501,0.0,0.0,0.365474,0.083924,0.28155,True,Funds more growth than the price implies
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,13274973184.0,14343999943.0,423626024.0,2036000000.0,5620987733.0,0.141941,0.029533,0.075365,31.3365,2.3617,0.031912,0.0107,0.335301,0.050095,0.07564,-0.025545,True,Priced above what the balance sheet can fund
BSX,Boston Scientific,Health Care,Health Care Equipment,70099230720.0,20995999670.0,3579596855.0,5711000064.0,24973124462.0,0.272004,0.170489,0.143338,19.583,2.807,0.051065,0.0,0.0,0.143338,0.067021,0.076317,True,Funds more growth than the price implies
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,138210082816.0,49186001808.0,9273925155.0,18929999872.0,22316658061.0,0.384866,0.188548,0.415561,14.9031,6.1931,0.0671,0.0377,0.561846,0.182079,0.059805,0.122275,False,Outside screen
AVGO,Broadcom,Information Technology,Semiconductors,1747173769216.0,75465000625.0,28688208878.0,42083999744.0,87682205109.0,0.557662,0.380153,0.327184,60.9022,19.9262,0.01642,0.007,0.426315,0.187701,0.082611,0.105089,True,Funds more growth than the price implies
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,20302721024.0,7476799718.0,1094609243.0,1808999936.0,2841081029.0,0.241948,0.146401,0.385279,18.5479,7.1461,0.053914,0.0242,0.44886,0.212343,0.065739,0.146604,True,Funds more growth than the price implies
BRO,Brown & Brown,Financials,Insurance Brokers,24105330688.0,6663000161.0,1047330442.0,2892000000.0,12758693147.0,0.434039,0.157186,0.082088,23.016,1.8893,0.043448,0.0092,0.211747,0.064706,0.070448,-0.005743,True,Broadly consistent
BLDR,Builders FirstSource,Industrials,Building Products,6788260352.0,14448703084.0,100064703.0,1022512000.0,4005277673.0,0.070768,0.006926,0.024983,67.8387,1.6948,0.014741,0.0,0.0,0.024983,0.083367,-0.058383,True,Priced above what the balance sheet can fund
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,23603755008.0,91819002996.0,891432714.0,3126000128.0,15953955967.0,0.034045,0.009709,0.055875,26.4784,1.4795,0.037767,0.0238,0.630187,0.020663,0.073005,-0.052342,True,Priced above what the balance sheet can fund
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,16966802432.0,16996511825.0,600615458.0,932641024.0,1623998825.0,0.054872,0.035338,0.369837,28.249,10.4475,0.035399,0.017,0.480233,0.192229,0.07407,0.118159,True,Funds more growth than the price implies
CDNS,Cadence Design Systems,Information Technology,Application Software,84454768640.0,5837622792.0,1387980676.0,2155915008.0,6857835765.0,0.369314,0.237765,0.202393,60.8472,12.3151,0.016435,0.0,0.0,0.202393,0.082604,0.119789,True,Funds more growth than the price implies
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,7091344384.0,9927999506.0,611322792.0,1704999936.0,4030853766.0,0.171737,0.061576,0.151661,11.6,1.7593,0.086207,0.0658,0.76328,0.035901,0.051207,-0.015306,True,Broadly consistent
KMX,CarMax,Consumer Discretionary,Automotive Retail,8717598720.0,28197508607.0,228476867.0,1031401024.0,6118639351.0,0.036578,0.008103,0.037341,38.1553,1.4248,0.026209,0.0,0.0,0.037341,0.078206,-0.040865,True,Priced above what the balance sheet can fund
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",32515471360.0,27310999836.0,3040621163.0,7302000128.0,12945922685.0,0.267365,0.111333,0.234871,10.6937,2.5116,0.093513,0.0194,0.207458,0.186145,0.047919,0.138226,True,Funds more growth than the price implies
