symbol,name,sector,sub_industry,market_cap,price,price_to_earnings,earnings_yield,roe,payout_ratio,retention_ratio,sustainable_growth,priced_in_growth,growth_gap,ebitda_margin,net_margin,range_position,side
BA,Boeing,Industrials,Aerospace & Defense,165084594176.0,208.87,74.067375,0.013501221016675696,0.36547434008563146,0.0,1.0,0.36547434008563146,0.08392445054249593,0.28154988954313553,-0.03085270479309489,0.023712362953032983,0.4137664346481052,can fund more than the price requires
UBER,Uber,Industrials,Passenger Ground Transportation,156153708544.0,76.45,16.76535,0.05964683111298004,0.3405526278902617,0.0,1.0,0.3405526278902617,0.06315892599915898,0.2773937018911027,0.13533236180507888,0.1686507321386527,0.3018042646254786,can fund more than the price requires
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10558892032.0,14.8,5.5430713,0.18040540088308082,0.3852814052743648,0.26440450101,0.73559549899,0.28341126756436474,0.008817569602613623,0.27459369796175115,0.3117818378535731,0.1459231798581081,0.4642857142857145,can fund more than the price requires
PTC,PTC Inc.,Information Technology,Application Software,16181539840.0,149.13,14.809336,0.06752497208517654,0.3213248318493145,0.0,1.0,0.3213248318493145,0.05961376256167056,0.2617110692876439,0.43194923040977934,0.36989453791993565,0.37975511730068223,can fund more than the price requires
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",13634418688.0,120.07,9.552109,0.1046889226243126,0.29805795767196547,0.0,1.0,0.29805795767196547,0.042889984819059326,0.25516797285290616,0.22903199877355096,0.12740368673273925,0.12859963797926605,can fund more than the price requires
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,53409128448.0,341.62,46.925823,0.021310228272394923,0.36249563486611625,0.0750813168,0.9249186832,0.33527898526611627,0.08041039727742227,0.254868587988694,0.33711546818406346,0.254962533106961,0.6133474296286507,can fund more than the price requires
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,21076860928.0,139.27,10.062861,0.09937531682093194,0.3650077945029749,0.1781126397,0.8218873603,0.29999529271297487,0.04528110743058062,0.25471418528239426,0.5004522804810014,0.27064476260501186,0.9595731890592125,can fund more than the price requires
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7149554688.0,15.57,9.436363,0.10597303219471316,0.294485110418071,0.0,1.0,0.294485110418071,0.04231213551237908,0.25217297490569196,0.25547701495239816,0.07461464258188823,0.08221343873517793,can fund more than the price requires
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",109733453824.0,183.26,41.84018,0.023900470791473654,0.3313412848606292,0.0,1.0,0.3313412848606292,0.07924478814383686,0.25209649671679235,0.20981837011372434,0.19930701713412638,0.8766622702467237,can fund more than the price requires
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,16944540672.0,6326.95,16.3133,0.06129967572471541,0.30629167611703334,0.0,1.0,0.30629167611703334,0.06241514592387806,0.24387653019315528,0.15954235379908105,0.10784536394439659,0.2649561956455487,can fund more than the price requires
CPAY,Corpay,Financials,Transaction & Payment Processing Services,27340656640.0,416.4,24.624483,0.04060998965947833,0.3134557992547498,0.0,1.0,0.3134557992547498,0.07172550465323474,0.24173029460151507,0.5573703344943579,0.22115393847982712,0.9448327652937438,can fund more than the price requires
