symbol,name,sector,sub_industry,price,market_cap,price_to_earnings,price_to_sales,price_to_book,dividend_yield,eps,ebitda,revenue,book_equity,net_income,shares_outstanding,ebitda_margin,net_margin,roe,payout_ratio,retention_ratio,earnings_yield,sustainable_growth,range_position,in_base,in_margin,in_returns,in_core,fail_reasons,priced_in_growth,growth_gap,in_screen
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,44.695,15658960896.0,9.429325,1.826757,2.2322946,0.0226,4.74,5720000000.0,8571999940.878837,7014737613.933215,1660666174.0024612,350351513.5026289,0.66728885201247,0.19373147287168588,0.2367395969488802,0.21310274499999998,0.786897255,0.10605212992446436,0.18628973898888018,0.959941884599419,True,True,True,True,,0.04227654153399103,0.14401319745488916,True
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",324.96,4742524698624.0,37.308838,10.15915,44.152172,0.0033,8.71,167959003136.0,466822982102.2428,107413168679.99155,127115306883.97047,14594179894.830133,0.35979163317887786,0.2722987336903004,1.1834239383172427,0.12311916540000001,0.8768808346,0.026803300601321328,1.0377217707172426,0.8346821783847579,True,True,True,True,,0.0779385147294054,0.9597832559878372,False
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,438.46,347960737792.0,38.16014,11.283872,13.578396,0.0048,11.49,10154999808.0,30836997955.31179,25626056110.898518,9118434696.962278,793597449.6921042,0.32931220551093765,0.29569787273639564,0.3558266819775818,0.18316867199999998,0.816831328,0.0262053545925146,0.29065038117758185,0.485287081339713,True,True,True,True,,0.07820759043336843,0.2124427907442134,True
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,45.03,9349728256.0,20.375565,0.45568419,1.0719386,0.0,2.21,3232999936.0,20518000100.025414,8722261010.0989,458869630.15234286,207633316.81101486,0.15756895994926892,0.022364247388407726,0.052609024584103554,0.0,1.0,0.04907839365436001,0.052609024584103554,0.011483900022517405,True,True,True,True,,0.06791472285553798,-0.01530569827143443,True
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,98.21,33512112128.0,7.714847,1.7425183,1.4375421,0.0,12.73,5565000192.0,19232000104.67609,23312090914.06784,4343846730.367988,341229122.574076,0.2893614892736466,0.22586557335301904,0.18633449244035558,0.0,1.0,0.12962019855999737,0.18633449244035558,0.6396103896103892,True,True,True,True,,0.03167091064800118,0.1546635817923544,True
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,85.38,41149706240.0,23.075674,0.5012205,1.7457622,0.0246,3.7,2995000064.0,82099008799.52037,23571197864.17646,1783250328.9763412,481959548.3719841,0.03648034376777393,0.021720729093464515,0.07565379022081868,0.5676615804,0.43233841959999997,0.04333567894918259,0.03270804010081868,0.9063260340632604,True,True,True,True,,0.07049894447286784,-0.037790904372049156,True
ANET,Arista Networks,Information Technology,Communications Equipment,186.1,234713923584.0,58.892406,22.267183,15.861247,0.0,3.16,4639600128.0,10540800045.69954,14797948962.272638,3985470169.400538,1261224737.1520689,0.4401563551044567,0.37809939967759276,0.2693258448296373,0.0,1.0,0.016980117945936866,0.2693258448296373,0.7131613031782406,True,True,True,True,,0.08235894692432841,0.18696689790530888,True
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,264.46,67791937536.0,43.496708,4.486858,2.8579147,0.0107,6.08,4288000000.0,15109000003.120224,23720770090.163994,1558553203.5804281,256340987.43099147,0.283804354961577,0.1031539614308402,0.06570416087580697,0.46541477559999994,0.5345852244,0.022990245606633035,0.03512447358580697,0.6002442996742668,True,True,True,True,,0.07965438947701513,-0.04452991589120816,True
AIZ,Assurant,Financials,Multi-line Insurance,284.07,14011403264.0,13.443919,1.04126,2.30046,0.0125,21.13,1737100032.0,13456200434.089468,6090696323.344027,1042211254.1567923,49323769.7187313,0.1290929070586145,0.07745212025205055,0.17111528267910572,0.1680489875,0.8319510125,0.07438307237644023,0.14235953267910573,0.7991509147882341,True,True,True,True,,0.05652761743060189,0.08583191524850384,True
T,AT&T,Communication Services,Integrated Telecommunication Services,25.95,177819418624.0,8.592715,1.3975229,1.6162183,0.0427,3.02,44939001856.0,127239001682.19067,110021906461.52193,20694205943.9106,6852386074.142582,0.3531857469948226,0.1626404299807322,0.18809169162482406,0.3669089305,0.6330910695,0.11637765246490778,0.11907917021482406,0.6121212121212121,True,True,True,True,,0.0376300563907915,0.08144911382403255,True
